seq	rf	ada	mlp	ens
a/bangkok/01/1979	1.1764963767253727	1.1467647347706869	0.8000334190024095	0.9985462801765911
a/beijing/32/1992	1.5737976257038202	1.652778881089433	2.5773166305499595	2.655680563721743
a/beijing/353/1989	0.9000554676772722	0.8629117032190912	2.1664133094704785	1.2749326964411827
a/brisbane/10/2007	2.432603571854007	2.6252182988079924	2.7997828902798463	2.6166375808135793
a/fujian/411/2002	1.3480034544623605	1.4761560217867067	1.2755308974931348	1.2768364596569193
a/hongkong/4801/2014	2.8147544696590203	2.8704543002775154	2.8237261863402043	2.832933157028928
a/moscow/10/1999	2.0436839605697985	2.3760127363482173	2.292084298079696	2.2167214445726535
a/perth/16/2009	1.7946060244985513	2.134957027195127	1.7727225907873554	1.878727173503518
a/philippines/2/1982	0.8635816765672296	0.9768037110322453	0.9881689006135673	0.8541444995152473
a/portchalmers/1/1973	3.3150581007034967	3.1710651215906567	3.9314250142480485	3.454997092353512
a/shanghai/11/1987	2.223747294668509	2.4849586617461705	2.297305595733799	2.299009307181514
a/swine/alberta/sd0038/2014	3.4354557288790963	3.345275738683712	2.5399956550418383	3.1778151993718073
a/swine/alberta/sd0049/2014	2.8654381966987086	2.7467058831710185	3.359188161548787	2.7846108602951873
a/swine/arkansas/a01840240/2014	0.9933604173694704	1.046518658088754	1.572157033540842	1.1592285242799032
a/swine/california/a01459016/2015	0.4518789783201532	0.4468764661309359	1.1925037014350959	0.7061687638103953
a/swine/colorado/23619/1999	1.9687994071758037	2.0020531731241014	1.6962977843408136	1.8662770453450028
a/swine/denmark/15164-1-p1/2014	2.427612196002656	2.7905359463084554	3.1673378468362636	2.553837691515291
a/swine/illinois/02970/2009	4.943673713505184	4.9210230751278115	4.998665535072607	4.9509110738708095
a/swine/illinois/a00843193/2014	1.0918354319971464	1.0054669538909577	1.7475698327338356	1.2794333848151123
a/swine/illinois/a01201606/2011	2.427255162804339	2.0373608778208756	3.0867278629719292	2.6472937773917846
a/swine/illinois/a01240784/2012	2.131842846203615	1.9700314738541769	1.9348231963314761	1.9282413202329922
a/swine/illinois/a01241066/2012	0.3487646163954507	0.6008908579470886	0.48731762611873236	0.45582559568468123
a/swine/illinois/a01241469/2012	0.8484870074257764	0.8610299584092871	0.9981960070182834	0.9072601183134114
a/swine/illinois/a01327868/2012	1.5148205285172927	1.4034183408372836	1.2747862207880098	1.332080181075076
a/swine/illinois/a01327903/2012	1.1393097327722945	1.3653492243396377	1.7981667768742071	1.3914392871681243
a/swine/illinois/a01462475/2015	1.0425841420849686	1.0546440407775335	1.138796897793971	1.077143858844619
a/swine/illinois/a01475273/2014	0.7633037633125466	1.0853084765812386	0.7469418233174842	0.6422084875649475
a/swine/illinois/a01475803/2014	0.6445137313137368	0.4478962574566565	0.2471288005880698	0.34030978465853906
a/swine/illinois/a01489882/2015	0.8205368994437681	0.9438233325537688	0.9649763393131919	0.8674068363367908
a/swine/illinois/a01493027/2014	1.2755110019771592	1.4209205151792514	1.2026730994766097	1.2880507981919802
a/swine/illinois/a01502036/2014	0.8181561441677236	0.7212149631279232	0.8584782285900219	0.773631156437183
a/swine/illinois/a01503899/2014	0.8786460746751366	1.105993685945726	1.2149051330776173	1.0652593275111917
a/swine/illinois/a01555180/2014	1.4810187143692408	1.5584009284298987	1.4158029243434391	1.467409340760433
a/swine/illinois/a01555638/2015	2.001701592750268	2.042049492560267	2.428233411388879	2.1825867122589333
a/swine/illinois/a01728585/2015	0.6853797849743737	0.7656971355811121	0.6787201153816034	0.6511439287453851
a/swine/illinois/a01840351/2015	1.6022733047924922	1.571792519281383	0.44774209316981867	1.3671694904753584
a/swine/illinois/a02076652/2015	0.5472943340593209	0.6058370440159023	0.14147344529799366	0.38486815094312077
a/swine/indiana/a00968373/2012	1.746838966746512	1.7364846790053772	1.655579391953685	1.7079299934564443
a/swine/indiana/a01202866/2011	2.575533460693107	2.856858188516184	1.8025868935821374	2.3804773838774884
a/swine/indiana/a01260268/2013	0.6588996145342781	0.7120822003679721	0.7668098279512408	0.6566529698127918
a/swine/indiana/a01260466/2014	0.29067129210138404	0.3809447830559691	0.6459076586249373	0.16885680259119368
a/swine/indiana/a01260591/2014	0.5039227010614581	0.4333054316433314	1.0199798448762483	0.6202038249998391
a/swine/indiana/a01729045/2016	1.1104036678373626	1.1564608001712886	0.8777959985617834	1.0428279532312215
a/swine/indiana/a01812162/2016	2.9853115475604333	2.178756125057566	2.971680981211618	2.7110057111170804
a/swine/iowa/1700/2007	1.3138731243782007	1.1779886346850084	2.4049896484493223	1.5560885098466801
a/swine/iowa/a01049750/2011	0.459397854224085	0.6371051540724169	0.3461443480775093	0.45941102537017364
a/swine/iowa/a01202613/2011	1.6926701005117872	1.6168665269158453	0.6311026610313996	0.897478678608455
a/swine/iowa/a01202889/2011	1.9207717273911904	1.7103747632568083	2.190105461654797	1.9599181073795275
a/swine/iowa/a01203121/2012	0.27813031568892677	0.32913259083625274	0.3232496736423489	0.18770860315963012
a/swine/iowa/a01203196/2012	1.8882388623174993	1.9254328707314405	2.7314053611639504	2.2106138058336557
a/swine/iowa/a01290671/2013	0.9582151873890543	0.9956452451365481	1.3161966697744427	1.0841245815115608
a/swine/iowa/a01300195/2012	1.2410767005653176	1.2301876057812604	1.1089716614965088	1.159985654870493
a/swine/iowa/a01432500/2013	1.7170894700377113	1.4076994331867239	1.648996931142821	1.4654956053757062
a/swine/iowa/a01432770/2013	0.9569681033961389	1.0272413539125507	1.0502978988172158	0.989961990871933
a/swine/iowa/a01432826/2013	0.7787669433497142	0.8298596853739704	1.198176280738402	0.9342658538071796
a/swine/iowa/a01480656/2014	1.7582985568689729	1.8323374352564756	1.8577024565034277	1.80655852768173
a/swine/iowa/a01501685/2014	1.3228817899933645	1.3728346690214672	1.8985599310766557	1.542141703803669
a/swine/iowa/a01729543/2016	1.744814634382032	1.606736282687307	1.8050910258901705	1.710052329343485
a/swine/iowa/a01730108/2016	0.311033149429724	0.32387555311034977	0.25716319393800785	0.27737190166513576
a/swine/iowa/a01733626/2016	0.4892827439317871	0.5958575354108351	0.3084934642870891	0.36367133467873625
a/swine/mexico/84706352130/2015	0.9436384361314148	0.5656161434857603	0.6788314978553576	0.7283640570857426
a/swine/mexico/8630459/2011	2.6723220705586477	2.865566063172257	2.5128382462625005	2.6575890828315982
a/swine/mexico/8630565/2011	2.3686568955660414	2.7291855051843736	3.0620031560511975	2.6323634758018213
a/swine/mexico/985778/2013	0.6373645330381954	0.4528517907483953	1.413912094126268	0.7408578305797915
a/swine/mexico/9890611/2013	2.689555443188249	2.808125092091426	2.0667116013793594	2.4554034550568926
a/swine/mexico/avx15/2012	5.775713613990331	5.85576793421703	4.166136877114693	5.345667586941287
a/swine/mexico/avx26/2012	1.2465594257849286	1.1791982420801053	1.1783225185273187	1.194281839751484
a/swine/mexico/avx36/2012	0.4674878479167034	0.46621051169421285	0.5176976938525433	0.21683971215516135
a/swine/mexico/avx53/2013	2.5304124021305556	2.834824027027691	2.1750000411175527	2.5129166444104842
a/swine/mexico/avx57/2013	1.971572362790901	1.9437900985302676	2.1122436108708778	1.950704549872545
a/swine/michigan/a01104095/2016	1.0877124452971338	1.0369908784423725	1.149435606837569	1.0824810791639299
a/swine/michigan/a01203498/2012	2.1328143649896627	2.601867621743462	2.2173574124381186	2.3168741167868565
a/swine/michigan/a01259000/2012	0.9165765768010506	0.9492666339076146	0.6785565402874996	0.8289788594545592
a/swine/michigan/a01432375/2013	1.1808726229622026	1.1331807510614977	0.7856013568670227	0.9709522814528871
a/swine/minnesota/02782/2009	2.1677361954745655	2.4450064378897247	2.580369577380506	2.398897700605025
a/swine/minnesota/1146/2006	3.7627929060276273	3.8060715977365662	3.688200925719601	3.7247758946332024
a/swine/minnesota/2782/2009	2.393262613717629	2.4589173198647614	2.5409398480629233	2.461048321202652
a/swine/minnesota/a01049936/2011	4.638139543479373	4.3723013201165	4.909512595735874	4.680896201978052
a/swine/minnesota/a01125993/2012	3.925866036265392	4.54504224538849	2.6212272082201435	2.457503028851572
a/swine/minnesota/a01277201/2012	4.647329257551136	4.9521973167279105	4.386736456635267	4.6580936723209065
a/swine/minnesota/a01280592/2013	3.5575901531672245	3.767537633360956	3.955117024523208	3.709635253728884
a/swine/minnesota/a01300213/2012	1.7901463521964378	1.5925575947137456	1.7399306131211036	1.7104231818302387
a/swine/minnesota/a01327922/2012	1.1481992265258103	1.0884805186057418	1.446523196915551	1.1156856475599866
a/swine/minnesota/a01365586/2013	1.3380402921620858	1.3193902350338482	2.1962558620726162	1.6194824376993495
a/swine/minnesota/a01366992/2014	1.7446099722819497	1.6075544673333009	1.7634389162530335	1.7069323216939551
