"","matrix.nrow...nrow.hiData..","A.WUHAN.359.1995","A.SYDNEY.5.1997","A.MOSCOW.10.1999","A.FUJIAN.411.2002","A.WISCONSIN.67.2005","A.BRISBANE.10.2007","A.PERTH.16.2009","A.VICTORIA.361.2011","A.SWINE.TEXAS.4199.1.1998","A.SWINE.COLORADO.23619.1999","A.SWINE.MINNESOTA.1146.2006","A.SWINE.IOWA.1700.2007","A.SWINE.MINNESOTA.2782.2009","A.SWINE.ILLINOIS.2970.2009","A.INDIANA.8.2011","A.SWINE.NEWYORK.A01104005.2011","A.SWINE.INDIANA.A00968373.2012","A.SWINE.INDIANA.A01202866.2011","A.SWINE.ILLINOIS.A01201606.2011","A.SWINE.IOWA.A01202613.2011","A.SWINE.IOWA.A01049750.2011","A.SWINE.TEXAS.A01049914.2011","A.SWINE.MICHIGAN.A01432375.2013","A.SWINE.IOWA.A01432500.2013","A.SWINE.MINNESOTA.A01432544.2013","A.SWINE.MINNESOTA.A01280592.2013","A.TURKEY.OHIO.313053.2004","A.SWINE.IOWA.A01480656.2014","A.SWINE.WYOMING.A01444562.2013","A.SWINE.PENNSYLVANIA.A01076777.2010","A.SWINE.MISSOURI.A01410819.2014"
"86","A/SWINE/MINNESOTA/A01480518/2014",7.08864103244762,NA,NA,NA,NA,5.26303440583379,NA,7.67807190511264,5.28050816750738,NA,NA,NA,5.7714894695006,NA,3.58496250072116,1.74774543291945,NA,6.91488338636205,NA,NA,NA,4.18718709006339,NA,4.41503749927884,NA,NA,NA,3.58094943821453,NA,NA,NA
"87","A/SWINE/NORTH CAROLINA/A01476722/2014",3.35167543828141,4.4998458870832,NA,8.07400058144378,NA,9.73696559416621,NA,10.152003093445,5.28050816750738,NA,NA,NA,5.7714894695006,NA,4.58496250072116,2.01077983875324,NA,4.91488338636205,NA,NA,NA,4.45022149589718,NA,2,NA,NA,NA,-0.156016155951674,NA,NA,NA
"88","A/SWINE/INDIANA/A01260268/2013",2.35167543828141,5.91488338636205,NA,8.07400058144378,NA,NA,NA,NA,4.27597850902687,NA,NA,NA,4.18652696877944,NA,5.26303440583379,3.3327079336406,NA,6.91488338636205,NA,NA,NA,5.84615017222832,NA,3,NA,NA,NA,-0.83408806106431,NA,NA,NA
"89","A/SWINE/MINNESOTA/A01049936/2011",6.01063852044635,NA,NA,NA,NA,NA,NA,NA,7.30798890392949,NA,NA,NA,5.7714894695006,NA,4.58496250072116,3.3327079336406,NA,3.91488338636205,NA,NA,NA,6.92415268422959,NA,3.41503749927884,NA,NA,NA,1.58094943821453,NA,NA,NA
"90","A/SWINE/NEBRASKA/A01567651/2015",5.35167543828141,NA,NA,NA,NA,6,NA,7.67807190511264,5.28050816750738,NA,NA,NA,5.18652696877944,NA,3.58496250072116,1.74774543291945,NA,6.91488338636205,NA,NA,NA,4.18718709006339,NA,4.41503749927884,NA,NA,NA,3.58094943821453,NA,NA,NA
"91","A/SWINE/MINNESOTA/A01277201/2012",4.35167543828141,6.4998458870832,NA,8.07400058144378,NA,NA,NA,NA,7.30798890392949,NA,NA,NA,5.7714894695006,NA,5,3.3327079336406,NA,5.4998458870832,NA,NA,NA,NA,NA,3,NA,NA,NA,1.58094943821453,NA,NA,NA
"92","A/SWINE/MISSOURI/A01410819/2014",4.35167543828141,5.91488338636205,7.58496250072116,2,6.60310984743141,3,3.18652696877944,6,6.28961037461463,NA,NA,3.762880292917,5.60156446805829,NA,6.58496250072116,5.01077983875324,7,8.57384646852698,5.73696559416621,3.91488338636205,7.15200309344505,3.45022149589718,NA,4,5,6,NA,NA,NA,NA,0
"93","A/SWINE/MISSOURI/A01476459/2012",4.93663793900257,6.4998458870832,6,5.41503749927884,4.58496250072116,2.58496250072116,2.7714894695006,2,NA,NA,NA,4.4998458870832,7.7714894695006,NA,6.58496250072116,5.74774543291945,8.39592867633114,7.91488338636205,NA,5.4998458870832,NA,4.18718709006339,NA,7,5.41503749927884,7,NA,NA,NA,NA,0.562594687692702
"94","A/SWINE/NORTH CAROLINA/A01730588/2016",NA,NA,NA,NA,NA,NA,NA,8.03652587602511,6.28961037461463,NA,NA,NA,2.7714894695006,NA,1.58496250072116,-0.25225456708055,NA,5.4998458870832,NA,NA,NA,3.45022149589718,NA,6.41503749927884,NA,NA,NA,3.58094943821453,NA,NA,NA
"95","A/SWINE/IOWA/A01730108/2016",4.35167543828141,6.53637176310832,NA,8,NA,5.59400764032416,NA,7,5.28050816750738,NA,NA,NA,6.7714894695006,NA,NA,5.01077983875324,NA,3.91488338636205,NA,NA,NA,4.45022149589718,NA,5,NA,NA,NA,2.84398384404833,NA,NA,NA
"96","A/SWINE/MINNESOTA/A01471950/2015",5.35167543828141,NA,NA,9.15200309344505,NA,NA,NA,NA,7.30798890392949,NA,NA,NA,5.7714894695006,NA,4,2.3327079336406,NA,6.17791779219584,NA,NA,NA,5.84615017222832,NA,4.41503749927884,NA,NA,NA,1.58094943821453,NA,NA,NA
"97","A/SWINE/OKLAHOMA/A01776961/2016",7.08864103244762,NA,NA,NA,NA,NA,NA,9.07400058144378,6.28961037461463,NA,NA,NA,3.7714894695006,NA,2.58496250072116,0.332707933640606,NA,6.91488338636205,NA,NA,NA,4.77214959078454,NA,4.67807190511264,NA,NA,NA,3.16591193893569,NA,NA,NA
"98","A/SWINE/NORTH CAROLINA/A01732564/2016",4.93663793900257,7.57384646852698,NA,7,NA,6.60310984743141,NA,7,5.28050816750738,NA,NA,NA,6.18652696877944,NA,NA,5.36923380966572,NA,3.91488338636205,NA,NA,NA,4.80867546680966,NA,6,NA,NA,NA,3.84398384404833,NA,NA,NA
"99","A/SWINE/IOWA/A01729543/2016",3.35167543828141,6.53637176310832,NA,9.15200309344505,NA,NA,NA,NA,4.27597850902687,NA,NA,NA,4.44956137461324,NA,4,2.16278293219829,NA,7.4998458870832,NA,NA,NA,4.18718709006339,NA,3.41503749927884,NA,NA,NA,0.580949438214533,NA,NA,NA
"100","A/SWINE/NEBRASKA/A01478775/2015",2.93663793900257,5.91488338636205,NA,8.07400058144378,NA,NA,NA,NA,4.27597850902687,NA,NA,NA,4.18652696877944,NA,4,1.33270793364061,NA,6.91488338636205,NA,NA,NA,5.18718709006339,NA,2.41503749927884,NA,NA,NA,0.16591193893569,NA,NA,NA
"101","A/SWINE/ILLINOIS/A01555638/2015",7.08864103244762,NA,NA,NA,NA,9.73696559416621,NA,8.03652587602511,6.28961037461463,NA,NA,NA,2.7714894695006,NA,3,0.74774543291945,NA,6.91488338636205,NA,NA,NA,4.77214959078454,NA,5.83007499855769,NA,NA,NA,3.16591193893569,NA,NA,NA
