"","matrix.nrow...nrow.hiData..","A.BANGKOK.01.1979","A.BEIJING.32.1992","A.FUJIAN.411.2002","A.WISCONSIN.67.2005","A.BRISBANE.10.2007","A.PERTH.16.2009","A.VICTORIA.361.2011","A.SWITZERLAND.9715293.2013","A.HONGKONG.4801.2014","A.SWINE.NEWYORK.A01104005.2011","A.SWINE.IOWA.A01480656.2014","A.SWINE.MISSOURI.A01410819.2014","A.WUHAN.359.1995","A.SWINE.TEXAS.4199.2.1998","A.SWINE.MINNESOTA.02782.2009","A.SWINE.INDIANA.A01729045.2016","A.SWINE.ALBERTA.SD0038.2014","A.SWINE.ALBERTA.SD0049.2014","A.SWINE.SASKATCHEWAN.SD0059.2014","A.SWINE.SASKATCHEWAN.SD0065.2014","A.SWINE.SASKATCHEWAN.SD0069.2015","A.VICTORIA.3.1975","A.PHILIPPINES.2.1982","A.SICHUAN.02.1987","A.PORTCHALMERS.1.1973","A.TURKEY.OHIO.313053.2004","A.SWINE.INDIANA.A01202866.2011","A.TEXAS.1.1977","A.LENINGRAD.360.1986","A.SHANGHAI.11.1987","A.BEIJING.353.1989","A.SYDNEY.5.1997","A.MOSCOW.10.1999","A.SWINE.TEXAS.4199.1.1998","A.SWINE.COLORADO.23619.1999","A.SWINE.MINNESOTA.1146.2006","A.SWINE.IOWA.1700.2007","A.SWINE.MINNESOTA.2782.2009","A.SWINE.ILLINOIS.2970.2009","A.INDIANA.8.2011","A.SWINE.INDIANA.A00968373.2012","A.SWINE.ILLINOIS.A01201606.2011","A.SWINE.IOWA.A01202613.2011","A.SWINE.IOWA.A01049750.2011","A.SWINE.TEXAS.A01049914.2011","A.SWINE.MICHIGAN.A01432375.2013","A.SWINE.IOWA.A01432500.2013","A.SWINE.MINNESOTA.A01432544.2013","A.SWINE.MINNESOTA.A01280592.2013","A.SWINE.WYOMING.A01444562.2013"
"32","A/SWINE/MEXICO/985778/2013",NA,3.18586654531133,NA,NA,NA,NA,NA,6.75187875229113,NA,5.36194377373524,NA,8.45471055218622,3.24792751344359,4.27146302790437,6.17617314910749,NA,NA,NA,NA,NA,NA,5.32192809488736,7,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","A/SWINE/MEXICO/AVX36/2012",NA,NA,NA,NA,NA,NA,8.50957709019796,7.75187875229113,NA,1.36194377373524,4.95419631038688,NA,4.51096191927738,3.68650052718322,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,-0.584962500721156,4.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","A/SWINE/MEXICO/AVX57/2013",NA,NA,NA,NA,NA,NA,8.50957709019796,7.75187875229113,NA,2.36194377373524,5.53915881110803,8.45471055218622,5.24792751344359,3.94953493301701,NA,NA,NA,NA,NA,NA,NA,NA,6.41503749927884,NA,NA,1.67807190511264,6.17791779219584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","A/SWINE/MEXICO/AVX53/2013",NA,NA,NA,6.81538329581354,NA,NA,7.92461458947681,6.75187875229113,NA,3.77698127301408,5.53915881110803,7.86974805146507,5.83289001416474,5.68650052718322,NA,NA,NA,NA,NA,NA,NA,5.73696559416621,6.41503749927884,5,NA,4.41503749927884,3.49984588708321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","A/TURKEY/OHIO/313053/2004",NA,NA,NA,7.23042079509238,NA,NA,7.92461458947681,6.75187875229113,NA,1.77698127301408,5.53915881110803,8.45471055218622,5.24792751344359,5.68650052718322,NA,NA,NA,NA,NA,NA,NA,6.32192809488736,7,5,NA,0,7.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","A/SWINE/MEXICO/AVX26/2012",NA,NA,NA,NA,NA,NA,7.50957709019796,6.16691625156997,NA,0.361943773735241,4.95419631038688,7.86974805146507,5.83289001416474,4.94953493301701,NA,NA,NA,NA,NA,NA,NA,5.73696559416621,5.67807190511264,NA,NA,1,6.91488338636205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","A/SWINE/MEXICO/AVX15/2012",NA,NA,NA,6.49345520092618,NA,NA,5.50957709019796,5.16691625156997,NA,1.77698127301408,NA,8.45471055218622,4.83289001416474,7.27146302790437,NA,NA,NA,NA,NA,NA,NA,6.32192809488736,5.67807190511264,3,NA,4.41503749927884,6.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","A/MOSCOW/10/1999",5.77214959078454,3.77082904603249,2.2847811133275,4.81538329581354,4.71616782979715,6.58571370877816,NA,7.16691625156997,NA,6.36194377373524,5.95419631038688,8.45471055218622,4.39993060688864,NA,NA,NA,NA,NA,NA,NA,NA,6.32192809488736,7,4,5.58496250072116,NA,8.01441905991296,5.58496250072116,4.58496250072116,3.26303440583379,6.32192809488736,3.25107149734301,0,5.18652696877944,NA,NA,4.762880292917,4.0990641275291,NA,6.58496250072116,NA,NA,6.08480838780436,NA,NA,NA,NA,NA,NA,NA
"40","A/SHANGHAI/11/1987",4.77214959078454,3.18586654531133,7.6667565918848,NA,8.03809592468451,NA,NA,NA,NA,5.36194377373524,6.53915881110803,7.86974805146507,5.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,4.73696559416621,4.41503749927884,2.41503749927884,5,NA,NA,5,2,0,5,NA,7.08480838780436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","A/SICHUAN/02/1987",5.77214959078454,2.18586654531133,NA,NA,8.03809592468451,7.58571370877817,NA,7.75187875229113,NA,5.77698127301408,5.53915881110803,8.45471055218622,4.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,5.73696559416621,6,0,5,NA,NA,5.58496250072116,4,1.26303440583379,4.73696559416621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","A/PORTCHALMERS/1/1973",4.18718709006339,4.77082904603249,NA,NA,8.03809592468451,NA,8.50957709019796,7.75187875229113,NA,6.36194377373524,6.53915881110803,NA,5.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,3.32192809488736,NA,4,0,NA,NA,4,NA,NA,6.32192809488736,7.52160043972373,7.08480838780436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
