seq	rf	ada	mlp	ens	rfstd	adastd	mlpstd	ensstd
a/swine/michigan/a01259000/2012	0.7785	0.8022	0.7168	0.7499	0.8376	0.8172	0.7584	0.7738
a/swine/indiana/a01202866/2011	1.8821	1.933	1.2404	1.6131	1.6477	1.6171	1.5199	1.5044
a/swine/illinois/a01201606/2011	0.9375	0.9647	1.7181	1.0512	1.1102	1.2103	1.2214	1.0883
a/swine/iowa/a01202613/2011	0.7868	0.8418	0.8014	0.7638	1.0001	1.0545	0.9665	0.9323
a/swine/iowa/a01202889/2011	0.7849	0.7706	1.0198	0.7794	0.9741	0.9294	1.0105	0.9118
a/swine/iowa/a01203196/2012	1.0087	0.8367	1.654	1.0202	1.0099	1.012	1.0722	0.9878
a/swine/iowa/a01049750/2011	0.9297	1.1018	0.9068	0.9376	1.363	1.3646	1.369	1.331
a/swine/texas/a01049914/2011	0.7161	0.8014	0.7386	0.714	0.9107	0.9868	0.9424	0.8933
a/swine/illinois/a01241066/2012	0.7401	0.9513	0.8276	0.8147	0.9497	1.2398	1.0596	1.07
a/swine/nebraska/a01241171/2012	1.1932	1.393	0.9658	1.0983	1.188	1.2923	0.9998	1.0993
a/swine/iowa/a01203121/2012	0.6015	0.6596	0.7048	0.6415	0.6953	0.812	0.8648	0.7648
a/swine/iowa/a01300195/2012	0.9602	1.0127	2.1432	1.2973	0.9188	1.0327	0.7618	0.8435
a/swine/minnesota/a01125993/2012	0.6786	0.8169	0.8125	0.7113	0.8486	0.9179	0.8257	0.7912
a/swine/minnesota/a01300213/2012	0.8708	0.9415	1.3372	1.0389	0.8667	1.1357	1.3308	1.063
a/swine/minnesota/a01327922/2012	0.4147	0.4281	0.913	0.4485	0.5236	0.6011	0.6287	0.5252
a/swine/iowa/a01432500/2013	0.9599	1.0582	1.299	0.9511	1.1903	1.2885	1.2548	1.1546
a/swine/minnesota/a01432544/2013	1.4053	1.407	1.5701	1.4385	1.5456	1.5838	1.6821	1.5732
a/swine/minnesota/a01280592/2013	1.3643	1.3746	1.244	1.3245	1.6364	1.6497	1.4872	1.5678
a/swine/north_carolina/a01432566/2013	1.238	1.2265	1.4394	1.1413	1.4945	1.5427	1.5497	1.5034
a/swine/michigan/a01203498/2012	0.8454	0.9891	1.339	1.0178	1.1341	1.2266	1.4418	1.1819
a/swine/nebraska/a01271549/2012	2.3838	2.5905	3.5138	2.8294	1.3654	1.433	1.7035	1.4846
a/swine/iowa/a01432826/2013	0.6804	0.915	0.8735	0.7723	0.983	1.1382	1.1548	1.0527
a/swine/iowa/a01290671/2013	0.5736	0.6348	0.6386	0.5674	0.5645	0.7162	0.765	0.6083
a/swine/illinois/a01555180/2014	0.8544	0.7905	0.9254	0.8523	0.6972	0.746	0.7872	0.7074
a/swine/arkansas/a01840240/2014	0.9004	0.9274	1.2067	1.0075	0.7982	0.9415	0.8801	0.8542
