,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/illinois/a02076652/2015,a/fujian/411/2002,7.396185997910143,7.7,8.492373290849281,7.86285309625314
1,a/swine/illinois/a02076652/2015,a/brisbane/10/2007,4.906269592476487,5.0,4.7457618651748135,4.884010485883766
2,a/swine/illinois/a02076652/2015,a/victoria/361/2011,6.451724137931032,6.5,6.546497560540321,6.499407232823786
3,a/swine/illinois/a02076652/2015,a/swine/newyork/a01104005/2011,2.8675026123301914,3.0,2.6249752038667165,2.830825938732304
4,a/swine/illinois/a02076652/2015,a/swine/iowa/a01480656/2014,4.489472309299893,4.5,5.3587248829207805,4.782732397406892
5,a/swine/illinois/a02076652/2015,a/wuhan/359/1995,5.591114345424714,5.7,5.9227413956933495,5.737951913706021
6,a/swine/illinois/a02076652/2015,a/turkey/ohio/313053/2004,2.5292319749216308,2.5,2.8992996099297637,2.6428438616171315
7,a/swine/illinois/a02076652/2015,a/swine/indiana/a01202866/2011,4.927586206896552,4.5,4.491588353151755,4.639724853349437
8,a/swine/illinois/a02076652/2015,a/swine/texas/4199-1/1998,6.688557993730426,6.7,7.049826677519473,6.812794890416633
9,a/swine/illinois/a02076652/2015,a/swine/minnesota/2782/2009,3.242946708463962,3.5,3.849596921164263,3.5308478765427416
10,a/swine/illinois/a02076652/2015,a/indiana/8/2011,3.4110501567398117,3.5,4.1146211721060775,3.6752237762819626
11,a/swine/illinois/a02076652/2015,a/swine/texas/a01049914/2011,4.214106583072085,4.2,4.732888951114594,4.382331844728893
12,a/swine/illinois/a02076652/2015,a/swine/iowa/a01432500/2013,5.614707419017765,5.5,6.1902727705802905,5.7683267298660175
13,a/swine/illinois/a02076652/2015,a/swine/wyoming/a01444562/2013,4.705616509926855,4.5,5.361021679864686,4.855546063263848
