,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/california/a01459016/2015,a/fujian/411/2002,7.565517241379311,7.7,8.278256088152306,7.847924443177207
1,a/swine/california/a01459016/2015,a/brisbane/10/2007,4.920062695924764,5.0,4.668955452946031,4.863006049623598
2,a/swine/california/a01459016/2015,a/victoria/361/2011,6.361311389759664,6.5,6.450469254298097,6.437260214685921
3,a/swine/california/a01459016/2015,a/swine/newyork/a01104005/2011,2.1847962382445045,1.9,1.865768701521178,1.9835216465885608
4,a/swine/california/a01459016/2015,a/swine/iowa/a01480656/2014,4.515987460815047,4.5,5.129648470613106,4.715211977142718
5,a/swine/california/a01459016/2015,a/turkey/ohio/313053/2004,2.6121473354232,2.5,2.2120188450509626,2.4413887268247207
6,a/swine/california/a01459016/2015,a/swine/indiana/a01202866/2011,5.178683385579936,5.0,4.522220235662845,4.900301207080927
7,a/swine/california/a01459016/2015,a/swine/texas/4199-1/1998,6.636572622779544,6.7,6.7188860288561525,6.6851528838785645
8,a/swine/california/a01459016/2015,a/swine/minnesota/2782/2009,3.261442006269609,3.7,3.6035470765682995,3.521663027612636
9,a/swine/california/a01459016/2015,a/indiana/8/2011,3.1029258098223607,3.5,3.1709115431175103,3.25794578431329
10,a/swine/california/a01459016/2015,a/swine/texas/a01049914/2011,4.3122257053291335,4.455555555555555,4.625820959392831,4.46453407342584
11,a/swine/california/a01459016/2015,a/swine/iowa/a01432500/2013,5.566457680250784,5.5,5.963472300025232,5.676643326758673
12,a/swine/california/a01459016/2015,a/swine/wyoming/a01444562/2013,4.735109717868338,5.0,4.739500228457771,4.824869982108702
