,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/minnesota/2782/2009,a/perth/16/2009,6.378082549634256,6.6,6.981497340977567,6.653193296870607
1,a/swine/minnesota/2782/2009,a/swine/newyork/a01104005/2011,2.0151851022540668,2.0,1.983793426738508,1.999659509664192
2,a/swine/minnesota/2782/2009,a/wuhan/359/1995,4.899358113151218,4.8,4.9379896152588625,4.879115909470027
3,a/swine/minnesota/2782/2009,a/swine/indiana/a01202866/2011,3.922619047619045,4.2,4.343350833508411,4.155323293709151
4,a/swine/minnesota/2782/2009,a/moscow/10/1999,5.81870428422151,6.18,5.400597203441929,5.799767162554481
5,a/swine/minnesota/2782/2009,a/swine/texas/4199-1/1998,3.955544484251381,4.0,3.849742101652879,3.9350955286347533
6,a/swine/minnesota/2782/2009,a/swine/iowa/1700/2007,0.5987166576064802,0.6,-0.2834879173412187,0.3050762467550871
7,a/swine/minnesota/2782/2009,a/fujian/411/2002,6.7736065084340975,6.7,6.781118415785422,6.75157497473984
8,a/swine/minnesota/2782/2009,a/wisconsin/67/2005,7.253213166144192,7.2,7.446780674548532,7.299997946897575
9,a/swine/minnesota/2782/2009,a/swine/newyork/a01104005/2011,2.0151851022540668,2.0,1.983793426738508,1.999659509664192
10,a/swine/minnesota/2782/2009,a/swine/iowa/a01480656/2014,3.5297405085336084,3.4,3.3324062374377688,3.4207155819904598
11,a/swine/minnesota/2782/2009,a/swine/missouri/a01476459/2012,6.275078369905937,6.6,6.7064519275509005,6.527176765818947
12,a/swine/minnesota/2782/2009,a/swine/missouri/a01410819/2014,7.0315778474398885,6.6,6.801591563997098,6.811056470478996
13,a/swine/minnesota/2782/2009,a/wuhan/359/1995,4.899358113151218,4.8,4.9379896152588625,4.879115909470027
14,a/swine/minnesota/2782/2009,a/swine/indiana/a01729045/2016,5.4098223615465235,5.7,5.724295441976419,5.611372601174314
15,a/swine/minnesota/2782/2009,a/swine/nebraska/a01567651/2015,4.130815047021951,4.4,4.350883018652661,4.293899355224871
16,a/swine/minnesota/2782/2009,a/moscow/10/1999,5.81870428422151,6.18,5.400597203441929,5.799767162554481
17,a/swine/minnesota/2782/2009,a/sydney/5/1997,5.495334378265399,6.333333333333332,5.786164477534967,5.871610729711232
18,a/swine/minnesota/2782/2009,a/swine/texas/4199-1/1998,3.955544484251381,4.0,3.849742101652879,3.9350955286347533
19,a/swine/minnesota/2782/2009,a/swine/colorado/23619/1999,4.4653530377668345,5.0,3.8645403570060988,4.443297798257645
20,a/swine/minnesota/2782/2009,a/swine/minnesota/1146/2006,0.4767728687133729,1.2666666666666666,1.6261418863842654,1.1231938072547685
21,a/swine/minnesota/2782/2009,a/swine/iowa/1700/2007,0.5987166576064802,0.6,-0.2834879173412187,0.3050762467550871
22,a/swine/minnesota/2782/2009,a/swine/minnesota/2782/2009,0.005049054614546997,0.0,0.011319322323273942,0.005456125645940313
23,a/swine/minnesota/2782/2009,a/swine/illinois/02970/2009,1.1102008609436798,1.0,2.040297095393988,1.3834993187792224
24,a/swine/minnesota/2782/2009,a/swine/pennsylvania/a01076777/2010,1.2069801462904919,1.7,0.7097540995194307,1.2055780819366408
25,a/swine/minnesota/2782/2009,a/indiana/8/2011,2.86308180325422,2.0,3.021619693932348,2.6282338323955226
26,a/swine/minnesota/2782/2009,a/swine/indiana/a00968373/2012,2.2853358710255267,2.0,2.1684536341450387,2.1512631683901886
27,a/swine/minnesota/2782/2009,a/swine/illinois/a01241469/2012,1.6953873712494392,2.0,1.4527118617979038,1.7160330776824475
28,a/swine/minnesota/2782/2009,a/swine/michigan/a01259000/2012,2.2395409762651117,2.0,2.9965666311523846,2.412035869139165
29,a/swine/minnesota/2782/2009,a/swine/indiana/a01202866/2011,3.922619047619045,4.2,4.343350833508411,4.155323293709151
30,a/swine/minnesota/2782/2009,a/swine/illinois/a01201606/2011,2.993416927899684,2.7,3.297897152258894,2.9971046933861927
31,a/swine/minnesota/2782/2009,a/swine/iowa/a01202613/2011,2.2397424988804278,2.45,2.4414609085577146,2.3770678024793805
32,a/swine/minnesota/2782/2009,a/swine/iowa/a01202889/2011,1.986404687266755,2.8,1.5008281514246806,2.095744279563812
33,a/swine/minnesota/2782/2009,a/swine/iowa/a01203196/2012,3.856792058516196,3.6,3.0160131204554808,3.4909350596572257
34,a/swine/minnesota/2782/2009,a/swine/iowa/a01049750/2011,2.0868592327213014,2.4,1.7307371475659752,2.0725321267624253
35,a/swine/minnesota/2782/2009,a/swine/texas/a01049914/2011,1.7206433796088956,2.0,2.0997234300110947,1.9401222698733305
36,a/swine/minnesota/2782/2009,a/swine/illinois/a01241066/2012,1.8706277056277056,2.1,0.8774207023871494,1.6160161360049516
37,a/swine/minnesota/2782/2009,a/swine/nebraska/a01241171/2012,5.6767241379310285,4.8,5.4560478055581125,5.310923981163048
38,a/swine/minnesota/2782/2009,a/swine/iowa/a01203121/2012,1.8420062695924773,1.8,1.357833004098319,1.6666130912302657
39,a/swine/minnesota/2782/2009,a/swine/iowa/a01300195/2012,2.5675809822361537,2.209523809523809,3.3919756551592903,2.723026815639751
40,a/swine/minnesota/2782/2009,a/swine/minnesota/a01125993/2012,3.3700753843857294,4.0,4.161673033201887,3.843916139195872
41,a/swine/minnesota/2782/2009,a/swine/minnesota/a01300213/2012,2.424635766532317,2.0,3.4283058135511566,2.617647193361158
