,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/michigan/a01203498/2012,a/victoria/361/2011,6.905825496342741,6.7,7.376370510595126,6.994065335645956
1,a/swine/michigan/a01203498/2012,a/swine/newyork/a01104005/2011,4.761933124346919,4.5,4.855757993216402,4.705897039187773
2,a/swine/michigan/a01203498/2012,a/swine/indiana/a01202866/2011,5.4311389759665705,5.5,7.807159476198683,6.246099484055084
3,a/swine/michigan/a01203498/2012,a/swine/indiana/a00968373/2012,4.78090909090909,4.5,4.941444921524175,4.740784670811089
4,a/swine/michigan/a01203498/2012,a/swine/illinois/a01201606/2011,3.1295977011494207,2.975,3.296042472739016,3.1335467246294786
5,a/swine/michigan/a01203498/2012,a/swine/iowa/a01202613/2011,2.3203761755485863,2.0,3.0568158799468037,2.459064018498464
6,a/swine/michigan/a01203498/2012,a/swine/iowa/a01049750/2011,4.280497835497831,3.8,4.591659406975335,4.224052414157722
7,a/swine/michigan/a01203498/2012,a/swine/texas/a01049914/2011,4.4398395282877985,4.3,5.286380640613584,4.675406722967129
8,a/swine/michigan/a01203498/2012,a/swine/iowa/a01432500/2013,3.6296081504702182,4.25,4.261365967718898,4.046991372729706
9,a/swine/michigan/a01203498/2012,a/swine/minnesota/a01432544/2013,5.614315569487988,5.5,3.9150467108042575,5.009787426764082
10,a/swine/michigan/a01203498/2012,a/swine/minnesota/a01280592/2013,4.399242424242432,4.2,4.8040026299142005,4.467748351385545
