,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/illinois/a01201606/2011,a/perth/16/2009,6.134942528735612,6.1,5.687191823617336,5.974044784117647
1,a/swine/illinois/a01201606/2011,a/victoria/361/2011,6.357931034482768,7.0,6.287278353880408,6.5484031294543925
2,a/swine/illinois/a01201606/2011,a/swine/newyork/a01104005/2011,2.2359031198686328,2.0,1.5615975545486511,1.9325002248057608
3,a/swine/illinois/a01201606/2011,a/swine/missouri/a01410819/2014,6.103793103448286,6.2,4.5527257879622445,5.618839630470177
4,a/swine/illinois/a01201606/2011,a/swine/indiana/a01202866/2011,5.6006232273473655,5.75,3.7307775299183135,5.027133585755227
5,a/swine/illinois/a01201606/2011,a/swine/texas/4199-1/1998,6.613832288401246,6.425,6.82495348705145,6.621261925150898
6,a/swine/illinois/a01201606/2011,a/swine/iowa/1700/2007,2.0168390804597722,2.7,1.907460373556064,2.2080998180052784
7,a/swine/illinois/a01201606/2011,a/swine/minnesota/2782/2009,2.436818181818183,2.7,2.752999781525507,2.629939321114563
8,a/swine/illinois/a01201606/2011,a/swine/illinois/02970/2009,3.4194678310195554,3.0,3.234988889033478,3.2181522400176767
9,a/swine/illinois/a01201606/2011,a/indiana/8/2011,3.1027168234064795,2.5,2.525912390133484,2.7095430711799886
10,a/swine/illinois/a01201606/2011,a/swine/indiana/a00968373/2012,3.0839408866995,3.5,2.142712077913444,2.908884321537648
11,a/swine/illinois/a01201606/2011,a/perth/16/2009,6.134942528735612,6.1,5.687191823617336,5.974044784117647
12,a/swine/illinois/a01201606/2011,a/victoria/361/2011,6.357931034482768,7.0,6.287278353880408,6.5484031294543925
13,a/swine/illinois/a01201606/2011,a/swine/newyork/a01104005/2011,2.2359031198686328,2.0,1.5615975545486511,1.9325002248057608
14,a/swine/illinois/a01201606/2011,a/swine/missouri/a01410819/2014,6.103793103448286,6.2,4.5527257879622445,5.618839630470177
15,a/swine/illinois/a01201606/2011,a/wuhan/359/1995,5.348198984923132,5.2,4.936478393408766,5.161559126110633
16,a/swine/illinois/a01201606/2011,a/turkey/ohio/313053/2004,2.9899843260188104,3.2,3.4557327377354765,3.215239021251429
