,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/iowa/a01730108/2016,a/fujian/411/2002,6.6858934169279,6.7,6.466287832468548,6.617393749798815
1,a/swine/iowa/a01730108/2016,a/brisbane/10/2007,5.352507836990604,5.9,4.963387497179345,5.405298444723315
2,a/swine/iowa/a01730108/2016,a/victoria/361/2011,6.2881400208986475,6.5,6.257431370687145,6.3485237971952655
3,a/swine/iowa/a01730108/2016,a/swine/newyork/a01104005/2011,4.500637408568446,4.4,4.4065401465063765,4.4357258516916085
4,a/swine/iowa/a01730108/2016,a/swine/iowa/a01480656/2014,3.5735005224660505,3.0,3.7981847014413663,3.4572284079691387
5,a/swine/iowa/a01730108/2016,a/wuhan/359/1995,4.436572622779521,4.5,4.5778711924952376,4.504814605091586
6,a/swine/iowa/a01730108/2016,a/turkey/ohio/313053/2004,3.1838557993730263,2.9,2.7975582513378088,2.9604713502369453
7,a/swine/iowa/a01730108/2016,a/swine/indiana/a01202866/2011,3.991222570532917,3.9,3.665071084738928,3.852097885090615
8,a/swine/iowa/a01730108/2016,a/sydney/5/1997,5.958505747126438,5.5,6.153084292137913,5.870530013088117
9,a/swine/iowa/a01730108/2016,a/swine/texas/4199-1/1998,4.67502985520226,4.4,4.8766118491410655,4.650547234781109
10,a/swine/iowa/a01730108/2016,a/swine/minnesota/2782/2009,5.988780041797299,5.8,6.3153626978145985,6.034714246537299
11,a/swine/iowa/a01730108/2016,a/swine/texas/a01049914/2011,4.340125391849522,4.2,4.030742748932092,4.190289380260538
12,a/swine/iowa/a01730108/2016,a/swine/iowa/a01432500/2013,4.6749320794148455,5.0,5.520681702066339,5.065204593827062
13,a/swine/iowa/a01730108/2016,a/swine/wyoming/a01444562/2013,3.5467189132706425,4.0,3.3537978303843397,3.633505581218328
