,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/mexico/avx36/2012,a/victoria/361/2011,6.805355276907005,6.6,7.062775721600591,6.822710332835865
1,a/swine/mexico/avx36/2012,a/switzerland/9715293/2013,6.488514703687122,6.8,6.3052845506084125,6.531266418098513
2,a/swine/mexico/avx36/2012,a/swine/newyork/a01104005/2011,2.502794944519079,2.9,1.1263653755154506,2.176386773344843
3,a/swine/mexico/avx36/2012,a/swine/iowa/a01480656/2014,4.001645768025079,3.7857142857142856,2.770216038697744,3.5191920308123694
4,a/swine/mexico/avx36/2012,a/wuhan/359/1995,4.661908493805039,4.883333333333332,4.991462085439563,4.845567970859312
5,a/swine/mexico/avx36/2012,a/swine/texas/4199-2/1998,5.074435736677121,5.7,4.643892755228344,5.139442830635155
6,a/swine/mexico/avx36/2012,a/philippines/2/1982,5.998834900731463,5.5,6.7923179055850325,6.0970509354388325
7,a/swine/mexico/avx36/2012,a/sichuan/02/1987,4.989540229885059,5.4,5.496431790298847,5.295324006727968
8,a/swine/mexico/avx36/2012,a/turkey/ohio/313053/2004,1.6965629198387833,1.7,1.260803829067982,1.552455582968922
9,a/swine/mexico/avx36/2012,a/swine/indiana/a01202866/2011,4.847216002388419,5.199999999999998,4.801869626615758,4.949695209668059
