,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/indiana/8/2011,a/brisbane/10/2007,6.281055381400215,5.5,5.8955269452373065,5.892194108879174
1,a/indiana/8/2011,a/perth/16/2009,5.961828631138964,5.8,5.48355243338145,5.748460354840138
2,a/indiana/8/2011,a/victoria/361/2011,5.49549522316764,4.86315789473684,5.347866701894946,5.2355066065998095
3,a/indiana/8/2011,a/swine/newyork/a01104005/2011,0.13487926954003607,0.25,0.1676104799471794,0.1841632498290718
4,a/indiana/8/2011,a/wuhan/359/1995,4.966363636363643,4.4,5.2026853872733465,4.856349674545663
5,a/indiana/8/2011,a/swine/indiana/a01202866/2011,3.8357687714584254,3.0,4.612165068386774,3.8159779466150665
6,a/indiana/8/2011,a/moscow/10/1999,5.4582340647857785,5.9,5.2988695300758994,5.552367864953894
7,a/indiana/8/2011,a/swine/texas/4199-1/1998,5.055754341443998,4.9,5.3510179796418536,5.10225744036195
8,a/indiana/8/2011,a/swine/iowa/1700/2007,2.010522466039708,2.1,2.3422233686663803,2.1509152782353627
9,a/indiana/8/2011,a/swine/minnesota/2782/2009,2.320182840496317,2.1,2.5141840394421258,2.3114556266461475
10,a/indiana/8/2011,a/perth/16/2009,5.961828631138964,5.8,5.48355243338145,5.748460354840138
11,a/indiana/8/2011,a/swine/newyork/a01104005/2011,0.13487926954003607,0.25,0.1676104799471794,0.1841632498290718
12,a/indiana/8/2011,a/swine/iowa/a01480656/2014,1.8397643926954248,2.1,2.933803328234042,2.2911892403098224
13,a/indiana/8/2011,a/swine/missouri/a01476459/2012,6.729487983281087,7.0,7.16831332117023,6.965933768150438
14,a/indiana/8/2011,a/swine/missouri/a01410819/2014,7.309546200925517,7.7,6.9980432958630665,7.3358631655961934
15,a/indiana/8/2011,a/wuhan/359/1995,4.966363636363643,4.4,5.2026853872733465,4.856349674545663
16,a/indiana/8/2011,a/swine/indiana/a01729045/2016,4.552257053291536,4.84,5.0637972762807335,4.81868477652409
17,a/indiana/8/2011,a/swine/nebraska/a01567651/2015,2.617293625914312,2.0,1.518340149076229,2.0452112583301805
18,a/indiana/8/2011,a/moscow/10/1999,5.4582340647857785,5.9,5.2988695300758994,5.552367864953894
19,a/indiana/8/2011,a/sydney/5/1997,6.8151410658307245,6.9,6.355314908767606,6.690151991532778
20,a/indiana/8/2011,a/swine/texas/4199-1/1998,5.055754341443998,4.9,5.3510179796418536,5.10225744036195
21,a/indiana/8/2011,a/swine/minnesota/1146/2006,2.742994205376652,3.1,2.7905658929136066,2.877853366096753
22,a/indiana/8/2011,a/swine/iowa/1700/2007,2.010522466039708,2.1,2.3422233686663803,2.1509152782353627
23,a/indiana/8/2011,a/swine/minnesota/2782/2009,2.320182840496317,2.1,2.5141840394421258,2.3114556266461475
24,a/indiana/8/2011,a/swine/illinois/02970/2009,3.665061949544707,4.2,4.7145447983498965,4.193202249298201
25,a/indiana/8/2011,a/swine/pennsylvania/a01076777/2010,1.9474874133181284,1.4,1.5238020378695292,1.6237631503958856
26,a/indiana/8/2011,a/indiana/8/2011,0.006456403575670201,0.002439024390243902,0.01670776285016548,0.008534396938693194
27,a/indiana/8/2011,a/swine/indiana/a00968373/2012,0.19430243415919676,-0.2,0.540962829386225,0.17842175451514056
28,a/indiana/8/2011,a/swine/illinois/a01241469/2012,0.2815350047291977,0.0,0.2363229289805369,0.17261931123657825
29,a/indiana/8/2011,a/swine/michigan/a01259000/2012,0.8547184658709407,0.6,0.8854795145775016,0.7800659934828141
30,a/indiana/8/2011,a/swine/illinois/a01201606/2011,3.470939692491421,3.0,2.9779189000709647,3.1496195308541286
31,a/indiana/8/2011,a/swine/iowa/a01202613/2011,3.129242424242419,2.8000000000000003,2.7967305962668765,2.9086576735030985
32,a/indiana/8/2011,a/swine/iowa/a01202889/2011,3.228735632183907,4.0,2.677641972053638,3.3021258680791816
33,a/indiana/8/2011,a/swine/iowa/a01049750/2011,3.0951619644723047,2.9,2.2092637701114257,2.7348085781945763
34,a/indiana/8/2011,a/swine/texas/a01049914/2011,2.5386572622779515,2.7,2.326911436178744,2.5218562328188985
35,a/indiana/8/2011,a/swine/illinois/a01241066/2012,3.0285736677115964,2.9,1.8523567910407868,2.5936434862507944
36,a/indiana/8/2011,a/swine/nebraska/a01241171/2012,5.847100313479619,5.4,5.301897449883424,5.516332587787682
37,a/indiana/8/2011,a/swine/iowa/a01203121/2012,3.3057366771159864,3.3,2.456509834199792,3.0207488371052587
