,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/swine/nebraska/a01567651/2015,a/brisbane/10/2007,5.288819226750261,5.466666666666668,4.820300149403956,5.191928680940293
1,a/swine/nebraska/a01567651/2015,a/victoria/361/2011,6.4609717868338565,6.5,6.0873886484903466,6.3494534784414025
2,a/swine/nebraska/a01567651/2015,a/switzerland/9715293/2013,6.340778474399178,6.7,6.571014220629561,6.537264231676248
3,a/swine/nebraska/a01567651/2015,a/swine/newyork/a01104005/2011,2.470141065830712,1.9,1.6667536754761818,2.0122982471022977
4,a/swine/nebraska/a01567651/2015,a/swine/iowa/a01480656/2014,3.7355015673981193,4.0,3.9228233108215145,3.8861082927398782
5,a/swine/nebraska/a01567651/2015,a/wuhan/359/1995,4.9772335423197775,4.7,5.0807432031507584,4.919325581823512
6,a/swine/nebraska/a01567651/2015,a/swine/texas/4199-2/1998,4.6402821316614675,4.9,4.590018917130142,4.7101003495972025
7,a/swine/nebraska/a01567651/2015,a/swine/minnesota/02782/2009,4.637304075235128,4.2,4.6027305732205015,4.4800115494852095
8,a/swine/nebraska/a01567651/2015,a/swine/indiana/a01729045/2016,3.9020376175548614,3.5,6.557700885110482,4.653246167555113
9,a/swine/nebraska/a01567651/2015,a/swine/saskatchewan/sd0065/2014,3.4617032392894465,4.0,3.1005914060976503,3.520764881795699
10,a/swine/nebraska/a01567651/2015,a/swine/saskatchewan/sd0069/2015,3.756839080459775,3.5,4.729020472551257,3.995286517670344
11,a/swine/nebraska/a01567651/2015,a/philippines/2/1982,4.5313225854605275,4.319999999999999,3.694403129557662,4.18190857167273
12,a/swine/nebraska/a01567651/2015,a/sichuan/02/1987,4.759074488729673,4.7,3.5745822021286378,4.344552230286103
13,a/swine/nebraska/a01567651/2015,a/turkey/ohio/313053/2004,5.049059561128528,5.0,5.301775055545717,5.116944872224749
14,a/swine/nebraska/a01567651/2015,a/swine/indiana/a01202866/2011,6.711285266457683,6.5,6.8272444374337935,6.679509901297159
15,a/swine/nebraska/a01567651/2015,a/swine/texas/4199-1/1998,4.6402821316614675,4.9,4.590018917130142,4.7101003495972025
16,a/swine/nebraska/a01567651/2015,a/swine/minnesota/2782/2009,4.637304075235128,4.2,4.6027305732205015,4.4800115494852095
17,a/swine/nebraska/a01567651/2015,a/indiana/8/2011,3.1349529780564254,3.0,3.3142395678160215,3.1497308486241486
18,a/swine/nebraska/a01567651/2015,a/swine/texas/a01049914/2011,3.663897596656204,3.3,3.9886488778909497,3.6508488248490494
19,a/swine/nebraska/a01567651/2015,a/swine/iowa/a01432500/2013,4.255015673981194,4.5,4.030935568249712,4.2619837474103015
20,a/swine/nebraska/a01567651/2015,a/swine/wyoming/a01444562/2013,2.8690438871473325,3.5,3.2758431761383746,3.214962354428569
