,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/brisbane/10/2007,a/beijing/32/1992,5.467455590386625,5.4,5.265033518652988,5.3774963696798705
1,a/brisbane/10/2007,a/fujian/411/2002,3.1734355874011038,2.6750000000000003,3.33009286866211,3.0595094853544045
2,a/brisbane/10/2007,a/wisconsin/67/2005,1.1373266662954256,0.9,1.724303794311402,1.2538768202022759
3,a/brisbane/10/2007,a/bangkok/01/1979,6.603328855052989,6.540000000000001,6.787407926110276,6.6435789270544205
4,a/brisbane/10/2007,a/fujian/411/2002,3.1734355874011038,2.6750000000000003,3.33009286866211,3.0595094853544045
5,a/brisbane/10/2007,a/wisconsin/67/2005,1.1373266662954256,0.9,1.724303794311402,1.2538768202022759
6,a/brisbane/10/2007,a/brisbane/10/2007,0.010291221880946713,0.0,0.007873216982758988,0.006054812954568567
7,a/brisbane/10/2007,a/perth/16/2009,0.9358724691515744,1.0,1.2062147465737598,1.0473624052417778
8,a/brisbane/10/2007,a/victoria/361/2011,1.3271473354231988,2.25,1.6495884445049078,1.7422452599760356
9,a/brisbane/10/2007,a/switzerland/9715293/2013,3.2910008956560697,2.3,2.9462269915001875,2.8457426290520864
10,a/brisbane/10/2007,a/hongkong/4801/2014,4.008363188535603,4.0,4.211528938562815,4.073297375699473
11,a/brisbane/10/2007,a/swine/missouri/a01476459/2012,2.190208986415887,2.72,2.799029163935775,2.5697460501172205
12,a/brisbane/10/2007,a/swine/ohio/16tosu4788/2016,4.601280041797283,4.5,5.611372415979532,4.904217485925607
13,a/brisbane/10/2007,a/swine/ohio/a01354299/2017,4.313636363636358,3.1,4.55575943855881,3.989798600731723
14,a/brisbane/10/2007,a/swine/oklahoma/a02218157/2017,4.222915360501574,4.0,3.8620500510322864,4.02832180384462
15,a/brisbane/10/2007,a/wuhan/359/1995,4.694853709508892,0.9000000000000001,4.044272661647721,3.213042123718871
16,a/brisbane/10/2007,a/swine/indiana/a01729045/2016,6.500182863113898,6.7,5.508398217527062,6.236193693546988
17,a/brisbane/10/2007,a/swine/nebraska/a01567651/2015,6.957053291536052,7.5,6.633226109930612,7.030093133822223
18,a/brisbane/10/2007,a/moscow/10/1999,4.076687565308256,3.8,4.460348123368626,4.1123452295589615
