,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/perth/16/2009,a/swine/minnesota/1146/2006,5.312814640529918,5.4195121951219525,5.356345436070177,5.362890757240684
1,a/swine/newyork/a01104005/2011,a/swine/minnesota/1146/2006,2.9867588346821408,2.974358974358975,2.995655957613677,2.9855912555515975
2,a/swine/iowa/a01480656/2014,a/swine/minnesota/1146/2006,3.143587766049281,3.2708333333333326,3.2182625631654624,3.210894554182692
3,a/swine/missouri/a01410819/2014,a/swine/minnesota/1146/2006,6.426131698240551,6.073684210526316,6.245997634202779,6.248604514323215
4,a/wuhan/359/1995,a/swine/minnesota/1146/2006,4.128813164839378,4.2,4.200090227247173,4.176301130695517
5,a/turkey/ohio/313053/2004,a/swine/minnesota/1146/2006,1.8527073264310958,1.982608695652174,2.107824624420347,1.9810468821678722
6,a/swine/indiana/a01202866/2011,a/swine/minnesota/1146/2006,3.5493293789369385,3.3754098360655735,3.399403248927831,3.4413808213101142
7,a/moscow/10/1999,a/swine/minnesota/1146/2006,4.237735230337022,4.263157894736842,4.289055447060433,4.263316190711432
8,a/swine/texas/4199-1/1998,a/swine/minnesota/1146/2006,5.128862874445995,4.905555555555555,5.178414996443655,5.070944475481736
9,a/swine/iowa/1700/2007,a/swine/minnesota/1146/2006,2.252120015543067,2.2185185185185183,2.238067058729517,2.236235197597034
10,a/swine/minnesota/2782/2009,a/swine/minnesota/1146/2006,1.173189628735397,1.1846153846153846,1.8437150983648962,1.400506703905226
11,a/swine/illinois/02970/2009,a/swine/minnesota/1146/2006,2.8063669752789844,2.7461538461538457,2.494536184665165,2.6823523353659984
12,a/indiana/8/2011,a/swine/minnesota/1146/2006,3.143587766049281,3.2708333333333326,3.2182625631654624,3.210894554182692
13,a/swine/indiana/a00968373/2012,a/swine/minnesota/1146/2006,2.87792906269063,3.1232558139534885,3.1135188408655314,3.038234572503217
14,a/swine/illinois/a01201606/2011,a/swine/minnesota/1146/2006,3.1773045768479746,3.395081967213116,3.57733368855435,3.38324007753848
15,a/swine/iowa/a01202613/2011,a/swine/minnesota/1146/2006,3.5238975244626696,3.4796874999999994,3.310432680879237,3.438005901780636
16,a/swine/iowa/a01049750/2011,a/swine/minnesota/1146/2006,3.7928938591718433,3.7067796610169483,3.488368468741088,3.6626806629766264
17,a/swine/texas/a01049914/2011,a/swine/minnesota/1146/2006,3.5238975244626696,3.4796874999999994,3.310432680879237,3.438005901780636
18,a/swine/iowa/a01432500/2013,a/swine/minnesota/1146/2006,4.128813164839378,4.2,4.200090227247173,4.176301130695517
19,a/swine/minnesota/a01432544/2013,a/swine/minnesota/1146/2006,3.5493293789369385,3.3754098360655735,3.399403248927831,3.4413808213101142
20,a/swine/minnesota/a01280592/2013,a/swine/minnesota/1146/2006,2.4630904775257907,2.4090909090909083,2.745316200551128,2.5391658623892757
21,a/swine/wyoming/a01444562/2013,a/swine/minnesota/1146/2006,3.7928938591718433,3.7067796610169483,3.488368468741088,3.6626806629766264
