,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/beijing/32/1992,a/swine/indiana/a01729045/2016,5.346980854847326,5.455263157894735,5.446187563867986,5.416143858870016
1,a/fujian/411/2002,a/swine/indiana/a01729045/2016,5.346980854847326,5.455263157894735,5.446187563867986,5.416143858870016
2,a/brisbane/10/2007,a/swine/indiana/a01729045/2016,5.836849650549901,5.475609756097561,5.630289747902047,5.647583051516503
3,a/victoria/361/2011,a/swine/indiana/a01729045/2016,5.904863630654105,5.821212121212121,5.998494115970175,5.908189955945467
4,a/switzerland/9715293/2013,a/swine/indiana/a01729045/2016,6.498000800170458,6.288461538461537,6.458446776410545,6.41496970501418
5,a/hongkong/4801/2014,a/swine/indiana/a01729045/2016,6.498000800170458,6.288461538461537,6.458446776410545,6.41496970501418
6,a/swine/newyork/a01104005/2011,a/swine/indiana/a01729045/2016,4.105432914868497,3.9276595744680836,3.973672891240265,4.002255126858948
7,a/swine/iowa/a01480656/2014,a/swine/indiana/a01729045/2016,4.105432914868497,3.9276595744680836,3.973672891240265,4.002255126858948
8,a/swine/missouri/a01410819/2014,a/swine/indiana/a01729045/2016,6.500476855891073,6.329166666666665,6.366698484038302,6.398780668865347
9,a/wuhan/359/1995,a/swine/indiana/a01729045/2016,4.6664518665568,4.854285714285713,4.893881011765792,4.8048728642027685
10,a/swine/texas/4199-2/1998,a/swine/indiana/a01729045/2016,5.696790226820356,5.480769230769231,5.538238655885018,5.571932704491535
11,a/swine/minnesota/02782/2009,a/swine/indiana/a01729045/2016,3.7040265322327564,3.3609375000000012,3.498312176545107,3.5210920695926213
12,a/swine/indiana/a01729045/2016,a/switzerland/9715293/2013,6.498000800170458,6.288461538461537,6.458446776410545,6.41496970501418
13,a/swine/indiana/a01729045/2016,a/hongkong/4801/2014,6.498000800170458,6.288461538461537,6.458446776410545,6.41496970501418
14,a/swine/indiana/a01729045/2016,a/swine/newyork/a01104005/2011,4.105432914868497,3.9276595744680836,3.973672891240265,4.002255126858948
15,a/swine/indiana/a01729045/2016,a/swine/iowa/a01480656/2014,4.105432914868497,3.9276595744680836,3.973672891240265,4.002255126858948
16,a/swine/indiana/a01729045/2016,a/swine/missouri/a01410819/2014,6.500476855891073,6.329166666666665,6.366698484038302,6.398780668865347
17,a/swine/indiana/a01729045/2016,a/swine/ohio/a01354299/2017,5.9975447996860085,6.370833333333334,6.642548960444607,6.336975697821316
18,a/swine/indiana/a01729045/2016,a/swine/oklahoma/a02218157/2017,6.668921886908486,6.445454545454544,6.550497868427574,6.554958100263534
19,a/swine/indiana/a01729045/2016,a/wuhan/359/1995,4.6664518665568,4.854285714285713,4.893881011765792,4.8048728642027685
20,a/swine/indiana/a01729045/2016,a/swine/texas/4199-2/1998,5.696790226820356,5.480769230769231,5.538238655885018,5.571932704491535
21,a/swine/indiana/a01729045/2016,a/swine/minnesota/02782/2009,3.7040265322327564,3.3609375000000012,3.498312176545107,3.5210920695926213
22,a/swine/indiana/a01729045/2016,a/swine/indiana/a01729045/2016,0.005070719169809046,0.0,-0.02946418898431416,-0.008131156604835038
23,a/swine/indiana/a01729045/2016,a/swine/nebraska/a01567651/2015,3.9538646229995194,4.16774193548387,4.617727735714696,4.246444764732694
24,a/swine/indiana/a01729045/2016,a/swine/alberta/sd0038/2014,4.34423206806341,4.602702702702703,4.525676643697662,4.490870471487924
25,a/swine/indiana/a01729045/2016,a/swine/alberta/sd0049/2014,4.6664518665568,4.854285714285713,4.893881011765792,4.8048728642027685
26,a/swine/indiana/a01729045/2016,a/swine/saskatchewan/sd0059/2014,4.238354520769414,4.397222222222222,4.80182991974876,4.479135554246799
27,a/swine/indiana/a01729045/2016,a/swine/saskatchewan/sd0065/2014,4.34423206806341,4.602702702702703,4.525676643697662,4.490870471487924
28,a/swine/indiana/a01729045/2016,a/swine/saskatchewan/sd0069/2015,5.101720428207055,5.055882352941177,4.9859321037828215,5.047844961643684
29,a/swine/indiana/a01729045/2016,a/swine/denmark/15164-1-p1/2014,6.516140118154225,6.375000000000001,6.918702236495705,6.60328078488331
30,a/swine/alberta/sd0049/2014,a/swine/indiana/a01729045/2016,4.6664518665568,4.854285714285713,4.893881011765792,4.8048728642027685
31,a/swine/saskatchewan/sd0065/2014,a/swine/indiana/a01729045/2016,4.34423206806341,4.602702702702703,4.525676643697662,4.490870471487924
32,a/turkey/ohio/313053/2004,a/swine/indiana/a01729045/2016,3.2117664776830757,3.338181818181818,3.5968615136132867,3.3822699364927273
33,a/swine/indiana/a01202866/2011,a/swine/indiana/a01729045/2016,4.1830235531197575,4.3722222222222245,3.78625466053098,4.113833478624321
34,a/sydney/5/1997,a/swine/indiana/a01729045/2016,5.176982462159054,5.013157894736842,5.262085379833921,5.150741912243272
35,a/swine/texas/4199-1/1998,a/swine/indiana/a01729045/2016,5.696790226820356,5.480769230769231,5.538238655885018,5.571932704491535
36,a/swine/minnesota/2782/2009,a/swine/indiana/a01729045/2016,3.7040265322327564,3.3609375000000012,3.498312176545107,3.5210920695926213
37,a/indiana/8/2011,a/swine/indiana/a01729045/2016,4.453965517951731,4.3951219512195125,4.157775075274325,4.3356208481485226
38,a/swine/texas/a01049914/2011,a/swine/indiana/a01729045/2016,3.8949065578441098,4.308333333333332,4.433928351325425,4.212389414167622
39,a/swine/iowa/a01432500/2013,a/swine/indiana/a01729045/2016,4.6664518665568,4.854285714285713,4.893881011765792,4.8048728642027685
40,a/swine/wyoming/a01444562/2013,a/swine/indiana/a01729045/2016,4.326125878448233,4.490909090909092,4.065723983257298,4.294252984204874
