,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/fujian/411/2002,a/swine/north_carolina/a01410118/2014,5.873063430362958,5.555999999999999,5.948621752853978,5.7925617277389785
1,a/brisbane/10/2007,a/swine/north_carolina/a01410118/2014,6.3926094033494145,6.202777777777778,6.217711126582771,6.271032769236655
2,a/victoria/361/2011,a/swine/north_carolina/a01410118/2014,5.894301786167986,5.961904761904761,6.576201904083305,6.144136150718684
3,a/swine/newyork/a01104005/2011,a/swine/north_carolina/a01410118/2014,1.9635778018134755,1.9956521739130435,2.07264780239397,2.010625926040163
4,a/wuhan/359/1995,a/swine/north_carolina/a01410118/2014,4.206961705963869,4.170370370370371,4.782567800029201,4.3866332921211475
5,a/turkey/ohio/313053/2004,a/swine/north_carolina/a01410118/2014,3.788616985319637,3.654666666666667,3.501292089148828,3.648191913711711
6,a/swine/indiana/a01202866/2011,a/swine/north_carolina/a01410118/2014,3.804527448017352,3.5807228915662663,3.8805352975259333,3.7552618790365173
7,a/sydney/5/1997,a/swine/north_carolina/a01410118/2014,5.346844759007163,5.416326530612242,5.410443005396391,5.3912047650052655
8,a/swine/texas/4199-1/1998,a/swine/north_carolina/a01410118/2014,6.098104166830324,6.035555555555555,5.76922883703478,5.967629519806887
9,a/swine/minnesota/2782/2009,a/swine/north_carolina/a01410118/2014,3.6548579788723066,3.5764705882352943,3.3896011036766613,3.5403098902614207
10,a/indiana/8/2011,a/swine/north_carolina/a01410118/2014,2.2374330301505254,2.5302325581395344,2.3365474953141807,2.36807102786808
11,a/swine/texas/a01049914/2011,a/swine/north_carolina/a01410118/2014,4.53080832732839,4.275,4.15498764879987,4.320265325376087
12,a/swine/iowa/a01432500/2013,a/swine/north_carolina/a01410118/2014,4.066221330978407,3.9545454545454546,4.603174884210005,4.207980556577955
