,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/beijing/32/1992,a/fujian/411/2002,5.140091907851309,5.200000000000001,4.871184783201742,5.07042556368435
1,a/fujian/411/2002,a/bangkok/01/1979,5.777808441584488,5.477142857142857,5.6319338561645615,5.628961718297302
2,a/fujian/411/2002,a/beijing/32/1992,5.140091907851309,5.200000000000001,4.871184783201742,5.07042556368435
3,a/fujian/411/2002,a/fujian/411/2002,0.005779089129481041,0.0,-0.00213915079693458,0.001213312777515487
4,a/fujian/411/2002,a/wisconsin/67/2005,2.620019341155103,2.311764705882353,2.661480199850269,2.5310880822959083
5,a/fujian/411/2002,a/brisbane/10/2007,3.216411487884204,3.326315789473685,2.534206702323468,3.0256446598937856
6,a/fujian/411/2002,a/perth/16/2009,2.8399985457205394,2.9794871794871804,2.9160271949038825,2.911837640037201
7,a/fujian/411/2002,a/victoria/361/2011,3.6161264062770826,3.4285714285714293,3.4185226720593755,3.487740168969296
8,a/fujian/411/2002,a/switzerland/9715293/2013,4.344829254199598,4.672131147540983,4.026186087027036,4.347715496255873
9,a/fujian/411/2002,a/hongkong/4801/2014,4.148619015052584,4.135443037974684,3.7726030627060956,4.018888371911121
10,a/fujian/411/2002,a/swine/iowa/a01480656/2014,5.9321246335056195,6.002222222222223,5.716461530938209,5.88360279555535
11,a/fujian/411/2002,a/swine/missouri/a01476459/2012,3.15853523654931,3.3453125000000004,3.603547713158801,3.36913181656937
12,a/fujian/411/2002,a/swine/missouri/a01410819/2014,4.344829254199598,4.672131147540983,4.026186087027036,4.347715496255873
13,a/fujian/411/2002,a/swine/ohio/16tosu4788/2016,4.470605205367597,4.348648648648648,4.11071376180068,4.309989205272308
14,a/fujian/411/2002,a/swine/ohio/a01354299/2017,4.306416992627851,4.443181818181819,4.448546409333512,4.399381740047727
15,a/fujian/411/2002,a/swine/oklahoma/a02218157/2017,4.470605205367597,4.348648648648648,4.11071376180068,4.309989205272308
16,a/fujian/411/2002,a/wuhan/359/1995,4.2026710320838925,4.419999999999999,4.279769111347973,4.300813381143954
17,a/fujian/411/2002,a/swine/indiana/a01729045/2016,5.1455996172356855,5.521212121212121,5.293823157069978,5.320211631839261
18,a/fujian/411/2002,a/moscow/10/1999,3.15853523654931,3.3453125000000004,3.603547713158801,3.36913181656937
19,a/fujian/411/2002,a/shanghai/11/1987,5.050002399505801,4.891891891891891,4.95571245797539,4.965868916457694
20,a/fujian/411/2002,a/swine/michigan/a01104095/2016,4.470605205367597,4.348648648648648,4.11071376180068,4.309989205272308
21,a/fujian/411/2002,a/beijing/353/1989,4.51093173363044,4.441463414634145,4.786657108428098,4.579684085564228
22,a/fujian/411/2002,a/sydney/5/1997,3.8444322976470255,3.6389610389610403,3.8571307374797428,3.780174691362603
23,a/fujian/411/2002,a/texas/1/1977,5.9321246335056195,6.002222222222223,5.716461530938209,5.88360279555535
24,a/fujian/411/2002,a/philippines/2/1982,5.954918834266208,5.8310344827586205,5.209295482296331,5.665082933107054
25,a/fujian/411/2002,a/leningrad/360/1986,5.1455996172356855,5.521212121212121,5.293823157069978,5.320211631839261
26,a/fujian/411/2002,a/swine/colorado/23619/1999,3.2670312969605106,3.5936507936507947,3.1705741899574957,3.3437520935229337
27,a/fujian/411/2002,a/swine/indiana/a00968373/2012,5.7575707693232125,5.419047619047619,5.800989205711855,5.659202531360896
28,a/fujian/411/2002,a/swine/nebraska/a01241171/2012,5.638534191252723,5.884000000000001,5.885516880485504,5.80268369057941
29,a/fujian/411/2002,a/swine/iowa/a01300195/2012,5.455461768130556,5.337500000000003,5.3783508318436235,5.390437533324728
30,a/fujian/411/2002,a/swine/minnesota/a01125993/2012,5.695935513186243,5.564705882352942,5.462878506617268,5.574506634052152
31,a/fujian/411/2002,a/swine/minnesota/a01300213/2012,5.954918834266208,5.8310344827586205,5.209295482296331,5.665082933107054
32,a/fujian/411/2002,a/swine/minnesota/a01327922/2012,5.695935513186243,5.564705882352942,5.462878506617268,5.574506634052152
33,a/fujian/411/2002,a/swine/iowa/a01290671/2013,5.695935513186243,5.564705882352942,5.462878506617268,5.574506634052152
34,a/fujian/411/2002,a/swine/arkansas/a01840240/2014,5.489158902985271,5.114285714285714,5.547406181390914,5.3836169328873
35,a/fujian/411/2002,a/swine/illinois/a01840351/2015,5.777808441584488,5.477142857142857,5.6319338561645615,5.628961718297302
36,a/fujian/411/2002,a/swine/illinois/a01503899/2014,5.8629882949100836,5.577142857142859,5.970044555259151,5.803391902437364
37,a/fujian/411/2002,a/swine/illinois/a01489882/2015,6.284927695754701,6.147500000000001,6.054572230032794,6.162333308595831
38,a/fujian/411/2002,a/swine/illinois/a01502036/2014,5.8629882949100836,5.577142857142859,5.970044555259151,5.803391902437364
39,a/fujian/411/2002,a/swine/wyoming/a01445305/2013,5.695935513186243,5.564705882352942,5.462878506617268,5.574506634052152
40,a/fujian/411/2002,a/swine/wyoming/a01397400/2013,5.695935513186243,5.564705882352942,5.462878506617268,5.574506634052152
41,a/fujian/411/2002,a/swine/wyoming/a01444566/2013,5.489158902985271,5.114285714285714,5.547406181390914,5.3836169328873
42,a/fujian/411/2002,a/swine/wyoming/a01381202/2013,5.489158902985271,5.114285714285714,5.547406181390914,5.3836169328873
43,a/fujian/411/2002,a/swine/nebraska/a01493501/2014,5.9321246335056195,6.002222222222223,5.716461530938209,5.88360279555535
44,a/fujian/411/2002,a/swine/minnesota/a01366992/2014,5.777808441584488,5.477142857142857,5.6319338561645615,5.628961718297302
45,a/fujian/411/2002,a/swine/indiana/a01260466/2014,6.320349254429567,6.243478260869565,6.223349528018335,6.262392347772489
46,a/fujian/411/2002,a/swine/north_carolina/a01410118/2014,5.7575707693232125,5.419047619047619,5.800989205711855,5.659202531360896
47,a/fujian/411/2002,a/swine/north_carolina/a01410709/2014,5.9321246335056195,6.002222222222223,5.716461530938209,5.88360279555535
48,a/fujian/411/2002,a/swine/iowa/a01501685/2014,6.284927695754701,6.147500000000001,6.054572230032794,6.162333308595831
49,a/fujian/411/2002,a/swine/illinois/a01327903/2012,5.638534191252723,5.884000000000001,5.885516880485504,5.80268369057941
50,a/fujian/411/2002,a/swine/illinois/a00843193/2014,5.7575707693232125,5.419047619047619,5.800989205711855,5.659202531360896
51,a/fujian/411/2002,a/swine/wyoming/a01444562/2013,5.489158902985271,5.114285714285714,5.547406181390914,5.3836169328873
52,a/fujian/411/2002,a/swine/california/a01459016/2015,5.777808441584488,5.477142857142857,5.6319338561645615,5.628961718297302
53,a/fujian/411/2002,a/swine/illinois/a02076652/2015,5.489158902985271,5.114285714285714,5.547406181390914,5.3836169328873
54,a/fujian/411/2002,a/swine/iowa/a01733626/2016,5.8629882949100836,5.577142857142859,5.970044555259151,5.803391902437364
55,a/fujian/411/2002,a/swine/minnesota/a01365586/2013,5.050002399505801,4.891891891891891,4.95571245797539,4.965868916457694
56,a/fujian/411/2002,a/swine/iowa/a01432770/2013,5.455461768130556,5.337500000000003,5.3783508318436235,5.390437533324728
57,a/fujian/411/2002,a/swine/illinois/a01728585/2015,5.455461768130556,5.337500000000003,5.3783508318436235,5.390437533324728
58,a/fujian/411/2002,a/swine/illinois/a01462475/2015,5.695935513186243,5.564705882352942,5.462878506617268,5.574506634052152
59,a/fujian/411/2002,a/swine/indiana/a01812162/2016,5.489158902985271,5.114285714285714,5.547406181390914,5.3836169328873
60,a/fujian/411/2002,a/swine/illinois/a01475803/2014,5.1455996172356855,5.521212121212121,5.293823157069978,5.320211631839261
61,a/fujian/411/2002,a/swine/north_carolina/a01476722/2014,5.7575707693232125,5.419047619047619,5.800989205711855,5.659202531360896
62,a/fujian/411/2002,a/swine/indiana/a01260268/2013,5.638534191252723,5.884000000000001,5.885516880485504,5.80268369057941
63,a/fujian/411/2002,a/swine/minnesota/a01277201/2012,5.954918834266208,5.8310344827586205,5.209295482296331,5.665082933107054
64,a/fujian/411/2002,a/swine/iowa/a01730108/2016,5.1455996172356855,5.521212121212121,5.293823157069978,5.320211631839261
65,a/fujian/411/2002,a/swine/minnesota/a01471950/2015,6.284927695754701,6.147500000000001,6.054572230032794,6.162333308595831
66,a/fujian/411/2002,a/swine/north_carolina/a01732564/2016,5.455461768130556,5.337500000000003,5.3783508318436235,5.390437533324728
67,a/fujian/411/2002,a/swine/iowa/a01729543/2016,6.320349254429567,6.243478260869565,6.223349528018335,6.262392347772489
68,a/fujian/411/2002,a/swine/nebraska/a01478775/2015,5.9321246335056195,6.002222222222223,5.716461530938209,5.88360279555535
69,a/wisconsin/67/2005,a/fujian/411/2002,2.620019341155103,2.311764705882353,2.661480199850269,2.5310880822959083
70,a/brisbane/10/2007,a/fujian/411/2002,3.216411487884204,3.326315789473685,2.534206702323468,3.0256446598937856
71,a/perth/16/2009,a/fujian/411/2002,2.8399985457205394,2.9794871794871804,2.9160271949038825,2.911837640037201
72,a/victoria/361/2011,a/fujian/411/2002,3.6161264062770826,3.4285714285714293,3.4185226720593755,3.487740168969296
73,a/switzerland/9715293/2013,a/fujian/411/2002,4.344829254199598,4.672131147540983,4.026186087027036,4.347715496255873
74,a/hongkong/4801/2014,a/fujian/411/2002,4.148619015052584,4.135443037974684,3.7726030627060956,4.018888371911121
75,a/swine/missouri/a01410819/2014,a/fujian/411/2002,4.344829254199598,4.672131147540983,4.026186087027036,4.347715496255873
76,a/wuhan/359/1995,a/fujian/411/2002,4.2026710320838925,4.419999999999999,4.279769111347973,4.300813381143954
77,a/shanghai/11/1987,a/fujian/411/2002,5.050002399505801,4.891891891891891,4.95571245797539,4.965868916457694
78,a/moscow/10/1999,a/fujian/411/2002,3.15853523654931,3.3453125000000004,3.603547713158801,3.36913181656937
79,a/swine/minnesota/2782/2009,a/fujian/411/2002,5.104346065735605,5.223529411764707,5.040240132749037,5.12270520341645
80,a/swine/indiana/a00968373/2012,a/fujian/411/2002,5.7575707693232125,5.419047619047619,5.800989205711855,5.659202531360896
81,a/swine/iowa/a01202613/2011,a/fujian/411/2002,5.777808441584488,5.477142857142857,5.6319338561645615,5.628961718297302
