,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/beijing/32/1992,a/swine/mexico/8630565/2011,4.213431713250132,4.378125000000001,4.816288354978514,4.469281689409549
1,a/wisconsin/67/2005,a/swine/mexico/8630565/2011,5.63233496901949,5.776470588235294,6.055228911564214,5.821344822939666
2,a/victoria/361/2011,a/swine/mexico/8630565/2011,6.466822627999779,6.1,6.320716173689718,6.295846267229831
3,a/switzerland/9715293/2013,a/swine/mexico/8630565/2011,7.010001492760111,6.8,7.028391101570322,6.946130864776811
4,a/swine/newyork/a01104005/2011,a/swine/mexico/8630565/2011,4.112975810773525,4.105882352941178,4.0201176730560775,4.079658612256927
5,a/swine/iowa/a01480656/2014,a/swine/mexico/8630565/2011,4.496140863363091,4.374468085106382,4.197109181139746,4.355906043203073
6,a/wuhan/359/1995,a/swine/mexico/8630565/2011,3.8966949481315356,4.134375,4.462596443265254,4.16455546379893
7,a/swine/texas/4199-2/1998,a/swine/mexico/8630565/2011,5.387247543518393,5.445945945945946,5.435758633271364,5.422984040911902
8,a/swine/minnesota/02782/2009,a/swine/mexico/8630565/2011,3.0116421583624517,2.9277777777777785,3.0011066154616963,2.9801755172006423
9,a/philippines/2/1982,a/swine/mexico/8630565/2011,5.63233496901949,5.776470588235294,6.055228911564214,5.821344822939666
10,a/portchalmers/1/1973,a/swine/mexico/8630565/2011,7.010001492760111,6.8,7.028391101570322,6.946130864776811
