,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/fujian/411/2002,a/swine/illinois/a02076652/2015,5.578135518450053,5.169811320754717,5.680922954778724,5.476289931327831
1,a/brisbane/10/2007,a/swine/illinois/a02076652/2015,5.578135518450053,5.169811320754717,5.680922954778724,5.476289931327831
2,a/victoria/361/2011,a/swine/illinois/a02076652/2015,5.973176002300908,5.506666666666667,5.770202792140064,5.750015153702546
3,a/swine/newyork/a01104005/2011,a/swine/illinois/a02076652/2015,3.8278350744559106,3.8253521126760583,3.89561989122748,3.8496023594531494
4,a/swine/iowa/a01480656/2014,a/swine/illinois/a02076652/2015,4.247784528435173,4.532941176470588,4.074179565950159,4.28496842361864
5,a/wuhan/359/1995,a/swine/illinois/a02076652/2015,4.13636161943071,4.386666666666667,4.788124581165339,4.437050955754239
6,a/turkey/ohio/313053/2004,a/swine/illinois/a02076652/2015,3.7774636200763902,3.676811594202899,3.5385005417821223,3.6642585853538043
7,a/swine/indiana/a01202866/2011,a/swine/illinois/a02076652/2015,4.150271144884973,4.180000000000001,3.806340053866141,4.045537066250372
8,a/swine/texas/4199-1/1998,a/swine/illinois/a02076652/2015,5.567423818597083,5.483720930232559,5.502363280056049,5.517836009628564
9,a/swine/minnesota/2782/2009,a/swine/illinois/a02076652/2015,3.6350156005702856,3.650769230769232,3.438860250322256,3.574881693887258
10,a/indiana/8/2011,a/swine/illinois/a02076652/2015,4.075792925687056,4.064705882352942,3.98489972858882,4.0417995122096055
11,a/swine/texas/a01049914/2011,a/swine/illinois/a02076652/2015,3.911203201425508,3.9153846153846157,4.431298915395512,4.085962244068545
12,a/swine/iowa/a01432500/2013,a/swine/illinois/a02076652/2015,5.131582899338498,5.058333333333333,4.966684255888013,5.052200162853281
13,a/swine/wyoming/a01444562/2013,a/swine/illinois/a02076652/2015,4.247784528435173,4.532941176470588,4.074179565950159,4.28496842361864
