,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/perth/16/2009,a/swine/indiana/a01202866/2011,5.806067077331119,5.476595744680851,5.534173034393415,5.605611952135128
1,a/victoria/361/2011,a/swine/indiana/a01202866/2011,5.586912291254937,5.8617647058823525,6.0176069734303725,5.822094656855888
2,a/swine/newyork/a01104005/2011,a/swine/indiana/a01202866/2011,2.8996334582239744,2.8186046511627905,3.020541651485106,2.9129265869572905
3,a/wuhan/359/1995,a/swine/indiana/a01202866/2011,4.300255446374303,4.54782608695652,4.373931580704729,4.407337704678517
4,a/swine/indiana/a01202866/2011,a/switzerland/9715293/2013,6.317562087180059,6.1625,6.404036076015832,6.2946993877319635
5,a/swine/indiana/a01202866/2011,a/swine/newyork/a01104005/2011,2.8996334582239744,2.8186046511627905,3.020541651485106,2.9129265869572905
6,a/swine/indiana/a01202866/2011,a/swine/iowa/a01480656/2014,3.3187754212688185,3.231372549019608,3.2140081756601484,3.254718715316192
7,a/swine/indiana/a01202866/2011,a/swine/missouri/a01476459/2012,5.586912291254937,5.8617647058823525,6.0176069734303725,5.822094656855888
8,a/swine/indiana/a01202866/2011,a/swine/missouri/a01410819/2014,6.366726032514405,6.105263157894736,6.21098054904515,6.227656579818098
9,a/swine/indiana/a01202866/2011,a/wuhan/359/1995,4.300255446374303,4.54782608695652,4.373931580704729,4.407337704678517
10,a/swine/indiana/a01202866/2011,a/swine/texas/4199-2/1998,5.056499149308313,5.175000000000001,5.050739095356464,5.094079414888259
11,a/swine/indiana/a01202866/2011,a/swine/indiana/a01729045/2016,3.925165820871359,3.9537037037037037,3.600755326889709,3.826541617154924
12,a/swine/indiana/a01202866/2011,a/swine/nebraska/a01567651/2015,4.1378867196006635,4.070588235294119,3.890815690311883,4.033096881735555
13,a/swine/indiana/a01202866/2011,a/swine/mexico/avx36/2012,3.648656911884695,3.4823529411764707,3.6974421146971,3.6094839892527553
14,a/swine/indiana/a01202866/2011,a/swine/mexico/avx57/2013,3.5343496878765435,3.4542857142857155,3.504068539082318,3.497567980414859
